Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
315;Piotr;Kacprzak;Uniwersytet Królewski;Bielsk Podlaski 96-087;I;983
316;Grzegorz;Balon;Politechnika Informatyczno-Elektroniczna;Zakopane 00-995;III;917
317;Zdzislawa;Modrzewska;Politechnika Królewska;M³ynarze 72-438;III;2124
318;Aleksander;Biborski;Politechnika Informatyczno-Elektroniczna;Czêstochowa 86-116;III;3254
319;Dominik;Felinski;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec 82-082;V;2842
320;Arkadiusz;Maciejewski;Politechnika Informatyczno-Elektroniczna;Zamoœæ 99-773;IV;1879
321;Milosz;Ostrowski;Uniwersytet Królewski;Limanowa 65-385;I;978
322;Marzena;Skrzypek;Uniwersytet Sportu i Turystyki;£azy 63-587;V;2409
323;Tomasz;Krawczyk;Politechnika Informatyczno-Elektroniczna;Sanok 71-890;II;1655
324;Andrzej;Knot;Uniwersytet Pedagogiczny;Jastrzêbie-Zdrój 51-394;I;356
325;Mateusz;Buczek;Politechnika Królewska;Oœwiêcim 27-702;I;2275
326;Piotr;Tyborowski;Uniwersytet Królewski;Katowice 72-241;III;2325
327;Klaudia;Kotowicz;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;I;1950
328;Mateusz;Bartoszewski;Politechnika Informatyczno-Elektroniczna;Miko³ów 96-497;I;2149
329;Michal;Antkowicz;Uniwersytet Królewski;Gliwice 11-608;I;2265
330;Barbara;Bakan;Politechnika Informatyczno-Elektroniczna;Radom 43-586;I;1218
331;Grzegorz;Styczen;Politechnika Królewska;Szczecinek 48-418;III;931
332;Agata;Babulak;Politechnika Królewska;Lwówek Sl¹ski 11-782;I;2170
333;Ewelina;Kocharyan;Politechnika Informatyczno-Elektroniczna;¯ory 29-724;I;1118
334;Barbara;Solska;Uniwersytet Sportu i Turystyki;RogoŸnik 74-768;I;678
335;Dominik;Kondratowicz;Uniwersytet Królewski;Pszczyna 53-858;V;2209
336;Kacper;Wozniak;Uniwersytet Pedagogiczny;Lublin 79-726;V;1897
337;Jagna;Meller;Politechnika Informatyczno-Elektroniczna;Koniaków 34-607;V;3247
338;Gabriela;Mroz;Uniwersytet Królewski;Siemianowice Sl¹skie 09-006;I;1033
339;Mateusz;Bernacki;Uniwersytet Królewski;Wroc³aw 62-182;III;846
340;Anna;Cender;Uniwersytet Pedagogiczny;Miechów 47-553;I;2190
341;Ewa;Seweryn;Uniwersytet Królewski;Racibórz 00-355;I;1206
342;Roza;Biernaczyk;Politechnika Królewska;Rybnik 24-983;IV;378
343;Andrzej;Pyza;Politechnika Królewska;Nowy S¹cz 62-813;I;788
344;Henryk;Mordyan;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg 85-266;I;1126
345;Oskar;Szanca;Politechnika Królewska;Racibórz 00-355;I;2257
346;Jakub;Kucharski;Politechnika Królewska;Szamotu³y 64-698;III;2144
347;Jan;Krzyzewski;Uniwersytet Rolniczy;Ogrodzieniec 82-082;II;1379
348;Jan;Dziekan;Politechnika Królewska;Siemianowice Sl¹skie 09-006;I;2815
349;Zofia;Kajzer;Uniwersytet Rolniczy;Dêbowiec 36-478;II;905
350;Iwona;Pawlowska;Uniwersytet Ekonomiczny;Lublin 79-726;III;2942
351;Oktawian;Kadej;Akademia Sztuk Piêknych;Ogrodniki 14-095;I;2668
352;Jadwiga;Beben;Politechnika Informatyczno-Elektroniczna;KuŸnia Raciborska 78-122;V;2998
353;Katarzyna;Czader;Politechnika Królewska;Nowy S¹cz 62-813;I;353
354;Zuzanna;Rutkowska;Politechnika Informatyczno-Elektroniczna;Rybnik 24-983;I;2320
355;Franciszek;Mikulski;Politechnika Informatyczno-Elektroniczna;Wojkowice 84-273;II;598
356;Aleksander;Chinski;Politechnika Informatyczno-Elektroniczna;Wroc³aw 62-182;I;3251
357;Bartlomiej;Kardys;Uniwersytet Królewski;Izbica Kujawska 02-756;I;1646
358;Katarzyna;Pakulska;Uniwersytet Królewski;Jaworzynka 56-921;I;767
359;Jakub;Piotrowski;Politechnika Informatyczno-Elektroniczna;Tychy 76-939;III;513
360;Irena;Fudecka;Politechnika Informatyczno-Elektroniczna;Pilica 15-308;I;3215
361;Krzysztof;Lis;Politechnika Informatyczno-Elektroniczna;Gliwice 11-608;I;2032
362;Grazyna;Chojacka;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec 82-082;I;2543
363;Kamil;Tokarz;Uniwersytet Rolniczy;Szczecinek 48-418;V;880
364;Agnieszka;Nawrot;Politechnika Informatyczno-Elektroniczna;Przemyœl 38-959;I;1142
365;Ewa;Chiluta;Politechnika Królewska;Nowy Targ 84-043;I;1924
366;Joanna;Chodyra;Politechnika Królewska;Koniaków 34-607;I;3225
367;Jacek;Winogrodzki;Politechnika Informatyczno-Elektroniczna;Ogrodniki 14-095;I;1004
368;Karol;Anarchista;Politechnika Informatyczno-Elektroniczna;D¹browa Górnicza 75-727;II;2716
369;Walery;Latka;Politechnika Informatyczno-Elektroniczna;P³ock 04-688;V;1126
370;Jaroslaw;Sierpien;Politechnika Informatyczno-Elektroniczna;Tarnowskie Góry 24-243;III;831
371;Kaja;Karnawal;Politechnika Informatyczno-Elektroniczna;K³omnice 43-045;IV;2377
372;Andrzej;Smietanka;Uniwersytet Królewski;Szczekociny 66-008;I;1447
373;Eustachy;Banaszek;Uniwersytet Królewski;Siemianowice Sl¹skie 09-006;I;2407
374;Barbara;Marczak;Politechnika Informatyczno-Elektroniczna;Sosnowiec 14-721;I;1566
375;Jaroslaw;Kata;Uniwersytet Ekonomiczny;Lublin 79-726;I;2437
376;Urszula;Wawrzynczyk;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;II;856
377;Anita;Wiwatowicz;Politechnika Informatyczno-Elektroniczna;Rabka 30-698;I;399
378;Weronika;Zawadzka;Uniwersytet Królewski;Ciechanów 37-640;I;1859
379;Wioletta;Kucharska;Politechnika Królewska;Baborów 48-364;II;1209
380;Piotr;Banalow;Uniwersytet Sportu i Turystyki;Zamoœæ 99-773;I;1025
381;Anna;Kaczmarek;Politechnika Informatyczno-Elektroniczna;Terespol 22-593;III;2076
382;Ewelina;Ewertowska;Politechnika Informatyczno-Elektroniczna;Pyrzowice 49-345;I;2601
383;Slawomira;Czerwiec;Uniwersytet Królewski;Che³m 37-997;V;2207
384;Ewa;Skrzeliczka;Uniwersytet Sportu i Turystyki;Sosnowiec 14-721;I;2312
385;Martyna;Piotrkowska;Uniwersytet Królewski;Myszków 91-786;I;1137
386;Tomasz;Nawrot;Politechnika Informatyczno-Elektroniczna;Leszno 90-272;II;383
387;Kamil;Kildarewicz;Uniwersytet Królewski;Tomaszów Lubelski 95-084;I;1834
388;Wlodzimierz;Komik;Politechnika Informatyczno-Elektroniczna;Radom 43-586;III;1032
389;Bartlomiej;Wrzesien;Uniwersytet Królewski;Œwiêtoch³owice 38-932;IV;2639
390;Emilia;Katanak;Politechnika Informatyczno-Elektroniczna;Gliwice 11-608;I;1422
391;Bartosz;Pawlowski;Politechnika Informatyczno-Elektroniczna;Zambrów 53-324;I;1150
392;Krzysztof;Nisiewicz;Uniwersytet Królewski;Oborniki 33-160;I;1280
393;Barbara;Mianowska;Politechnika Informatyczno-Elektroniczna;Sosnowiec 14-721;I;486
394;Adam;Loziczonek;Politechnika Informatyczno-Elektroniczna;KuŸnia Raciborska 78-122;II;2100
395;Karol;Antonowicz;Politechnika Informatyczno-Elektroniczna;Siedlce 14-461;I;654
396;Anna;Klemczak;Politechnika Informatyczno-Elektroniczna;Rabka 30-698;I;1814
397;Mieczyslawa;Szymczyk;Politechnika Informatyczno-Elektroniczna;Tychy 76-939;I;1136
398;Karol;Zalewski;Politechnika Informatyczno-Elektroniczna;Leszno 90-272;I;2978
399;Seweryna;Kotek;Politechnika Informatyczno-Elektroniczna;Bielsk Podlaski 96-087;II;949
400;Jowita;Adamska;Politechnika Informatyczno-Elektroniczna;Elbl¹g 10-656;IV;1771
401;Tomasz;Niczyj;Politechnika Królewska;Na³êczów 83-630;V;3295
402;Maja;Mazurkiewicz;Politechnika Królewska;Istebna 22-654;I;511
403;Alicja;Fedoruk;Politechnika Królewska;Sanok 71-890;I;2482
404;Jan;Ciebiera;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;I;2898
405;Urszula;Sielecka;Uniwersytet Królewski;Bo¿ewo 94-896;II;435
406;Ewelina;Katowicka;Politechnika Informatyczno-Elektroniczna;Chy¿ne 76-235;I;2357
407;Kinga;Wronska;Politechnika Informatyczno-Elektroniczna;Lubaczów 60-915;II;3271
408;Ewa;Gruszczynska;Wy¿sza Szko³a Techniczna;Olkusz 19-255;I;3337
409;Jan;Urbanski;Wy¿sza Szko³a Techniczna;Czêstochowa 86-116;I;2124
410;Leslaw;Pawlica;Politechnika Królewska;Szczekociny 66-008;I;3258
411;Barbara;Przybylek;Uniwersytet Sportu i Turystyki;Izbica Kujawska 02-756;III;2187
412;Roza;Szklarczyk;Politechnika Informatyczno-Elektroniczna;Pyrzyce 76-362;II;2605
413;Anastazja;Gruzin;Politechnika Informatyczno-Elektroniczna;Kêdzierzyn-KoŸle 81-133;V;983
414;Dawid;Trzebiatowski;Politechnika Informatyczno-Elektroniczna;Przasnysz 81-084;I;2037
415;Roman;Hajtowicz;Uniwersytet Królewski;Myszków 91-786;III;751
416;Ewelia;Kolanko;Uniwersytet Królewski;D¹browa Górnicza 75-727;I;3336
417;Mateusz;Majewski;Politechnika Informatyczno-Elektroniczna;Gliwice 11-608;II;2270
418;Jaroslaw;Krema;Politechnika Informatyczno-Elektroniczna;Chorzów 97-545;V;1777
419;Lucyna;Arabas;Politechnika Królewska;Zamoœæ 99-773;I;1000
420;Mateusz;Orlicki;Politechnika Informatyczno-Elektroniczna;Kêdzierzyn-KoŸle 81-133;I;2467
421;Sebastian;Alot;Politechnika Informatyczno-Elektroniczna;Ostro³êka 60-815;II;634
422;Jadwiga;Bober;Uniwersytet Sportu i Turystyki;Na³êczów 83-630;IV;3025
423;Gracja;Kozlowska;Uniwersytet Królewski;Limanowa 65-385;I;3330
424;Tomasz;Bronikowski;Politechnika Informatyczno-Elektroniczna;Konin 39-551;I;1304
425;Andrzej;Latacki;Uniwersytet Królewski;Pilica 15-308;II;1518
426;Kamil;Babula;Politechnika Informatyczno-Elektroniczna;Rybnik 24-983;I;1058
427;Czeslaw;Augustyneczek;Politechnika Królewska;Tychy 76-939;I;524
428;Anna;Hebda;Politechnika Informatyczno-Elektroniczna;Wroc³aw 62-182;V;1070
429;Bartosz;Bonkowski;Politechnika Informatyczno-Elektroniczna;Œwiêtoch³owice 38-932;I;983
430;Jozefa;Wysocka;Politechnika Informatyczno-Elektroniczna;Wroc³aw 62-182;II;2497
431;Justyna;Firlej;Uniwersytet Rolniczy;Prudnik 09-823;I;1919
432;Jadwiga;Wawer;Uniwersytet Królewski;Soœnicowice 15-658;II;2672
433;Michal;Klimisz;Politechnika Informatyczno-Elektroniczna;Tarnów 87-348;III;3092
434;Agnieszka;Bartkowiak;Politechnika Informatyczno-Elektroniczna;Zawiercie 58-922;I;3034
435;Ryszard;Siennicki;Uniwersytet Ekonomiczny;Wojkowice 84-273;II;2978
436;Marta;Gilowska;Politechnika Informatyczno-Elektroniczna;Jas³o 92-050;I;1572
437;Honorata;Caban;Politechnika Informatyczno-Elektroniczna;Kogutek 99-754;II;689
438;Franciszek;Szybinski;Politechnika Królewska;Lublin 79-726;V;1776
439;Emila;Nikiel;Uniwersytet Królewski;Rajcza 18-286;I;1849
440;Jan;Jasinski;Politechnika Królewska;Œwiecko 47-842;I;962
441;Halina;Lakomska;Uniwersytet Królewski;Brzesko 96-703;I;863
442;Teofil;Wina;Politechnika Królewska;Rzeszów 89-735;IV;1963
443;Teresa;Krzesaj;Politechnika Informatyczno-Elektroniczna;Siemianowice Sl¹skie 09-006;II;2126
444;Karol;Mroczek;Politechnika Informatyczno-Elektroniczna;Jaworzynka 56-921;V;2947
445;Jagna;Urban;Politechnika Królewska;Olsztyn 44-718;I;1098
446;Szymon;Maron;Politechnika Królewska;Miko³ów 96-497;IV;2372
447;Lucjusz;Tokarczyk;Politechnika Informatyczno-Elektroniczna;Miko³ajki 83-977;II;985
448;Krzysztof;Badura;Uniwersytet Ekonomiczny;Miko³ów 96-497;I;637
449;Konstanty;Banasikowski;Politechnika Informatyczno-Elektroniczna;Alwernia 27-938;I;2568
450;Krzysztof;Lipinski;Uniwersytet Muzyczny;Na³êczów 83-630;I;2635
451;Anna;Dworecka;Politechnika Królewska;Wa³brzych 62-834;I;2106
452;Kinga;Celeborska;Politechnika Informatyczno-Elektroniczna;Gostyñ 97-023;I;940
453;Mateusz;Bednarek;Politechnika Informatyczno-Elektroniczna;Legionowo 36-889;I;507
454;Stanislaw;Anczewski;Politechnika Informatyczno-Elektroniczna;Œwiêtoch³owice 38-932;II;2305
455;Szymon;Wawron;Uniwersytet Królewski;Katowice 72-241;II;3312
456;Danuta;Banaszczykiewicz;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec 82-082;I;2423
457;Tymon;Abacki;Uniwersytet Ekonomiczny;Kêdzierzyn-KoŸle 81-133;III;963
458;Ewelina;Blada;Politechnika Informatyczno-Elektroniczna;Terespol 22-593;IV;1961
459;Wieslawa;Bedynska;Uniwersytet Królewski;Koniaków 34-607;II;593
460;Bartosz;Dudek;Politechnika Informatyczno-Elektroniczna;Œwiecko 47-842;IV;2948
461;Tomasz;Kaczmarek;Uniwersytet Ekonomiczny;Wodzis³aw Sl¹ski 83-544;I;1140
462;Aleksander;Adamczyk;Uniwersytet Rolniczy;Mirów 69-389;V;1260
463;Kinga;Kawka;Uniwersytet Królewski;Olkusz 19-255;I;2512
464;Morfeusz;Grodecki;Akademia Sztuk Piêknych;Che³m 37-997;I;1713
465;Jerzy;Bodnarczyk;Politechnika Informatyczno-Elektroniczna;Piechowice 57-943;I;3260
466;Paulina;Dykiel;Politechnika Informatyczno-Elektroniczna;Jastrzêbie-Zdrój 51-394;I;1995
467;Adam;Bednarczyk;Politechnika Informatyczno-Elektroniczna;Krapkowice 94-560;I;1303
468;Barbara;Olszewska;Uniwersytet Królewski;Baborów 48-364;IV;1528
469;Wieslawa;Barcisz;Politechnika Królewska;Oœwiêcim 27-702;II;1278
470;Pawel;Kowal;Uniwersytet Królewski;Wadowice 47-222;V;3125
471;Monika;Rybicka;Uniwersytet Ekonomiczny;Kêdzierzyn-KoŸle 81-133;I;1111
472;Adam;Grabczak;Uniwersytet Rolniczy;Limanowa 65-385;IV;1116
473;Jan;Kozak;Uniwersytet Pedagogiczny;E³k 05-563;III;3021
474;Wiera;Augustowska;Politechnika Informatyczno-Elektroniczna;K³omnice 43-045;II;872
475;Lew;Wiejski;Akademia Sztuk Piêknych;Katowice 72-241;I;1787
476;Boguslawa;Sobota;Politechnika Informatyczno-Elektroniczna;Siemianowice Sl¹skie 09-006;II;2866
477;Miroslaw;Chochowski;Akademia Sztuk Piêknych;Tarnobrzeg 85-266;I;2625
478;Halina;Kuchar;Politechnika Królewska;Katowice 72-241;I;859
479;Zbigniew;Zajac;Uniwersytet Królewski;Wadowice 47-222;V;1589
480;Edyta;Klan;Politechnika Królewska;Sosnowiec 14-721;V;1683
481;Celina;Krotoszyn;Uniwersytet Królewski;Bêdzin 69-501;III;3139
482;Katarzyna;Skutnik;Politechnika Informatyczno-Elektroniczna;Siedlce 14-461;I;3124
483;Krzysztof;But;Politechnika Królewska;Rybnik 24-983;IV;2273
484;Bartosz;Zalecki;Politechnika Informatyczno-Elektroniczna;Bytom 80-339;I;1127
485;Irena;Tarnowska;Uniwersytet Pedagogiczny;Suwa³ki 91-271;I;2158
486;Piotr;Murarz;Politechnika Królewska;Nysa 72-297;III;2893
487;Justyna;Biegaj;Politechnika Królewska;Œwinoujskie 13-345;I;1770
488;Bohdan;Mrozowski;Politechnika Informatyczno-Elektroniczna;Piwniczna-Zdrój 09-592;I;2851
489;Karina;Kwiatkowska;Politechnika Informatyczno-Elektroniczna;Bia³a Podlaska 00-425;IV;2751
490;Katarzyna;Kruczek;Politechnika Informatyczno-Elektroniczna;Tomaszów Lubelski 95-084;I;2107
491;Anna;Barska;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec 82-082;II;1047
492;Marek;Piec;Uniwersytet Królewski;Kruszwica 33-294;V;3259
493;Marek;Grzeszczak;Uniwersytet Królewski;Miko³ów 96-497;I;508
494;Leslaw;Bak;Politechnika Królewska;Ustroñ 51-637;I;2799
495;Franciszka;Czemisow;Politechnika Informatyczno-Elektroniczna;Gorki Male 36-984;II;456
496;Michal;Sawicki;Politechnika Informatyczno-Elektroniczna;Olkusz 19-255;II;451
497;Sabina;Balcerek;Uniwersytet Królewski;Jas³o 92-050;II;1840
498;Aleksandra;Cichawacz;Politechnika Królewska;Œwieradów-Zdrój 01-685;I;3169
499;Kinga;Mlynarczyk;Uniwersytet Królewski;Sosnowiec 14-721;II;2543
500;Witold;Kupis;Uniwersytet Królewski;S³awków 42-081;II;1760
501;Janusz;Bokowski;Uniwersytet Pedagogiczny;Bielsk Podlaski 96-087;I;2891
502;Elzbieta;Jaworska;Akademia Sztuk Piêknych;G³ucho³azy 30-136;II;804
503;Marzena;Por;Uniwersytet Królewski;Rajcza 18-286;II;2715
504;Beata;Wittek;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg 85-266;V;1008
505;Wojciech;Rydawski;Politechnika Królewska;Wa³brzych 62-834;II;2711
506;Nikodem;Dyzma;Politechnika Informatyczno-Elektroniczna;RogoŸnik 74-768;II;3079
507;Wanda;Szalobryt;Politechnika Królewska;Bielsk Podlaski 96-087;II;701
508;Andrzej;Okon;Politechnika Królewska;Szczyrk 75-361;III;1556
509;Anita;Chalbinska;Politechnika Informatyczno-Elektroniczna;Witonia 21-857;I;1772
510;Agnieszka;Badowska;Politechnika Królewska;Nowy Targ 84-043;I;1372
511;Tomasz;Kajdasiewicz;Politechnika Informatyczno-Elektroniczna;Czêstochowa 86-116;III;1486
512;Piotr;Januszewski;Politechnika Królewska;Przemyœl 38-959;I;1613
513;Edyta;Styczen;Uniwersytet Królewski;Bydgoszcz 29-199;V;3105
514;Iwona;Andrzejewska;Uniwersytet Królewski;Ruda Sl¹ska 12-684;I;2241
515;Danuta;Kapusta;Politechnika Informatyczno-Elektroniczna;Myszków 91-786;I;2708
516;Ruta;Sawa;Uniwersytet Królewski;Mys³owice 13-220;II;2726
517;Izabella;Cieslak;Uniwersytet Ekonomiczny;Sura¿ 76-117;I;1100
518;Tadeusz;Krason;Politechnika Informatyczno-Elektroniczna;M³ynarze 72-438;IV;1894
519;Marcin;Gorgon;Politechnika Królewska;Pyrzowice 49-345;V;2681
520;Witold;Halama;Uniwersytet Królewski;Gryfice 51-783;II;1557
521;Teresa;Gryglak;Politechnika Informatyczno-Elektroniczna;Limanowa 65-385;II;3117
522;Jolanta;Turlej;Politechnika Informatyczno-Elektroniczna;E³k 05-563;V;3344
523;Kamil;Gruca;Uniwersytet Królewski;Karniewo 21-405;I;3300
524;Daniel;Filipek;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;I;2302
525;Beata;Dabrowska;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;II;2576
526;Krzysztof;Cebula;Uniwersytet Królewski;Olkusz 19-255;I;3155
527;Anna;Horbacz;Politechnika Królewska;Chorzów 97-545;I;1079
528;Krzysztof;Barski;Uniwersytet Królewski;Ogrodzieniec 82-082;I;1047
529;Wanda;Pacula;Uniwersytet Rolniczy;Katowice 72-241;II;2350
530;Ewa;Barwicka;Uniwersytet Królewski;Nowy S¹cz 62-813;I;600
531;Katarzyna;Bartecka;Politechnika Królewska;Chorzów 97-545;I;350
532;Natalia;Pypno;Politechnika Informatyczno-Elektroniczna;Radom 43-586;I;1139
533;Maciej;Knapik;Politechnika Informatyczno-Elektroniczna;Istebna 22-654;IV;1056
534;Katarzyna;Ochocka;Uniwersytet Królewski;Siewierz 65-885;I;750
535;Agnieszka;Otwocka;Politechnika Informatyczno-Elektroniczna;Racibórz 00-355;I;3176
536;Bozena;Chmielewska;Politechnika Informatyczno-Elektroniczna;Istebna 22-654;II;1835
537;Maria;Krasiczynska;Uniwersytet Królewski;Tarnobrzeg 85-266;I;1623
538;Katarzyna;Budziak;Uniwersytet Królewski;Nowy Targ 84-043;II;1153
539;Adam;Gumowski;Politechnika Informatyczno-Elektroniczna;Zamoœæ 99-773;I;3059
540;Alina;Charemska;Politechnika Informatyczno-Elektroniczna;Mys³owice 13-220;I;1847
541;Zbigniew;Jaworski;Uniwersytet Królewski;Mys³owice 13-220;III;3238
542;Marcin;Grabysz;Uniwersytet Sportu i Turystyki;Bielsk Podlaski 96-087;I;2125
543;Jan;Chylak;Politechnika Informatyczno-Elektroniczna;Gliwice 11-608;I;1224
544;Grzegorz;Sokolowski;Politechnika Królewska;Pu³awy 66-219;III;606
545;Anna;Smela;Politechnika Informatyczno-Elektroniczna;Soœnicowice 15-658;I;1375
546;Maria;Kolka;Uniwersytet Rolniczy;Soœnicowice 15-658;II;790
547;Krzysztof;Groza;Politechnika Królewska;Strzelce Opolskie 60-596;I;2014
548;Katarzyna;Friedek;Politechnika Królewska;Wis³a 99-436;I;898
549;Piotr;Szczerek;Uniwersytet Królewski;Rajcza 18-286;III;2896
550;Edward;Bebanek;Uniwersytet Królewski;Bielsk Podlaski 96-087;I;1580
551;Grzegorz;Kinski;Politechnika Informatyczno-Elektroniczna;Mys³owice 13-220;I;3000
552;Patryk;Brylok;Politechnika Informatyczno-Elektroniczna;Suwa³ki 91-271;I;3007
553;Ewa;Oszczudlowska;Uniwersytet Ekonomiczny;Przemyœl 38-959;I;1141
554;Irma;Iwasiow;Politechnika Królewska;RogoŸnik 74-768;I;1201
555;Tomasz;Muc;Uniwersytet Rolniczy;Cieszyn 68-101;IV;1243
556;Piotr;Cholewa;Uniwersytet Pedagogiczny;Hrebenne 37-873;II;2318
557;Antoni;Chmielacz;Uniwersytet Rolniczy;Strzelce Opolskie 60-596;I;2952
558;Agnieszka;Witas;Politechnika Królewska;M³ynarze 72-438;V;1914
559;Andrzej;Baran;Politechnika Informatyczno-Elektroniczna;Wodzis³aw Sl¹ski 83-544;I;1390
560;Feliks;Bawarski;Uniwersytet Królewski;Katowice 72-241;I;433
561;Kinga;Matuszyk;Politechnika Królewska;Zabrze 91-525;I;562
562;Grzegorz;Borutawski;Politechnika Królewska;Nowy Targ 84-043;I;2859
563;Wiktor;Basajski;Politechnika Królewska;Ruda Sl¹ska 12-684;II;920
564;Sylwester;Jasinski;Politechnika Informatyczno-Elektroniczna;Szczyrk 75-361;III;1216
565;Zofia;Ciechowska;Uniwersytet Królewski;Szczyrk 75-361;II;2652
566;Adam;Bialczak;Politechnika Informatyczno-Elektroniczna;Szczekociny 66-008;I;1676
567;Filip;Baczek;Akademia Sztuk Piêknych;Tychy 76-939;I;459
568;Felicja;Latas;Uniwersytet Królewski;Mys³owice 13-220;II;592
569;Aleksy;Dudek;Uniwersytet Pedagogiczny;Tychy 76-939;II;2544
570;Krzysztof;Chorzyk;Politechnika Informatyczno-Elektroniczna;Limanowa 65-385;I;1037
571;Krzysztof;Kryszkiewicz;Uniwersytet Królewski;Istebna 22-654;III;390
572;Robert;Zielinski;Politechnika Królewska;Nowy Targ 84-043;V;2538
573;Zachariasz;Msciwujewski;Uniwersytet Królewski;¯yrardów 51-006;II;3044
574;Jakub;Dukowski;Uniwersytet Królewski;Chorzów 97-545;I;2983
575;Anastazja;Litwin;Uniwersytet Rolniczy;Nowy Targ 84-043;I;889
576;Tomasz;Gronus;Uniwersytet Królewski;Terespol 22-593;V;389
577;Zofia;Adamowicz;Uniwersytet Królewski;K³omnice 43-045;II;439
578;Wislaw;Kowalski;Politechnika Informatyczno-Elektroniczna;Radom 43-586;II;3208
579;Konstantyn;Piatek;Uniwersytet Królewski;Legnica 58-930;I;350
580;Paulina;Uszek;Politechnika Królewska;Dêblin 53-807;I;1937
581;Andrzej;Kuras;Akademia Sztuk Piêknych;Ko³baskowo 95-186;V;838
582;Beata;Cagara;Politechnika Informatyczno-Elektroniczna;Giera³towice 04-834;IV;1698
583;Barbara;Balwierz;Uniwersytet Królewski;Krzeszowice 91-488;V;2746
584;Anna;Antosiewicz;Uniwersytet Pedagogiczny;Siemianowice Sl¹skie 09-006;I;569
585;Sara;Koterba;Uniwersytet Królewski;Zawiercie 58-922;I;1389
586;Miroslawa;Krasuska;Politechnika Królewska;Myszków 91-786;III;3018
587;Patrycja;Kochanska;Uniwersytet Królewski;Nowy S¹cz 62-813;I;1111
588;Tomasz;Ichniowski;Uniwersytet Królewski;Krapkowice 94-560;II;783
589;Stanislaw;Bialkowski;Politechnika Królewska;S³awków 42-081;II;3244
590;Piotr;Kalicinski;Uniwersytet Królewski;Miko³ów 96-497;III;1155
591;Roman;Banasik;Uniwersytet Rolniczy;Sanok 71-890;I;2845
592;Michal;Zawadzki;Politechnika Królewska;Rajcza 18-286;I;1501
593;Klaudia;Janecka;Akademia Sztuk Piêknych;Jejkowice 67-738;I;1257
594;Danuta;Chyza;Politechnika Informatyczno-Elektroniczna;Rzeszów 89-735;III;1787
595;Bartosz;Grzesik;Uniwersytet Królewski;Nysa 72-297;I;725
596;Milosz;Michalski;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;II;493
597;Michal;Baja;Uniwersytet Ekonomiczny;Che³m 37-997;I;2916
598;Marcin;Bielak;Uniwersytet Królewski;Siemianowice Sl¹skie 09-006;I;1164
599;Henryk;Chlopicki;Uniwersytet Królewski;Miko³ów 96-497;I;951
600;Marcin;Jader;Politechnika Informatyczno-Elektroniczna;Lêdziny 27-535;I;1074
601;Elzbieta;Sikora;Politechnika Informatyczno-Elektroniczna;Na³êczów 83-630;IV;2468
602;Ewa;Barek;Uniwersytet Sportu i Turystyki;Alwernia 27-938;I;2880
603;Kinga;Kaszyca;Politechnika Informatyczno-Elektroniczna;Zamoœæ 99-773;I;1299
604;Piotr;Pszczola;Uniwersytet Ekonomiczny;Mys³owice 13-220;I;1048
605;Barbara;Banowska;Politechnika Informatyczno-Elektroniczna;Sosnowiec 14-721;I;2846
606;Piotr;Jedruszczak;Uniwersytet Królewski;Tychy 76-939;I;2995
607;Zofia;Boska;Uniwersytet Królewski;Tomaszów Lubelski 95-084;II;3037
608;Joanna;Para;Politechnika Królewska;Wadowice 47-222;II;1930
609;Kamila;Borowska;Politechnika Królewska;Siemianowice Sl¹skie 09-006;I;2743
610;Monika;Chrzanik;Politechnika Królewska;Gliwice 11-608;I;2943
611;Marek;Wypchlo;Uniwersytet Królewski;Sanok 71-890;I;1041
612;Michal;Lowik;Uniwersytet Królewski;I³awa 70-459;III;1437
613;Wojciech;Janocha;Uniwersytet Pedagogiczny;Piwniczna-Zdrój 09-592;II;3289
614;Tomasz;Basinski;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;II;1032
615;Klaudiusz;Ostrowski;Uniwersytet Królewski;Nowy Targ 84-043;III;1555
616;Danuta;Telejko;Politechnika Informatyczno-Elektroniczna;Zabrze 91-525;IV;996
617;Michal;Rokosz;Politechnika Informatyczno-Elektroniczna;Zgorzelec 79-972;II;751
618;Piotr;Pienkowski;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg 85-266;I;1425
619;Jan;Razny;Akademia Sztuk Piêknych;Tworóg 62-560;III;1732
620;Stefan;Wlodarczyk;Politechnika Królewska;Chorzów 97-545;IV;571
621;Zofia;Kielbus;Uniwersytet Ekonomiczny;Prudnik 09-823;II;1384
622;Celina;Dobrzanska;Uniwersytet Rolniczy;Siewierz 65-885;I;3324
623;Joanna;Letka;Politechnika Informatyczno-Elektroniczna;Oœwiêcim 27-702;II;2560
